datasource	domain	setid	srclang	trglang	src	ref1	ref2	ref3
cwmt2009	ce-news	zh_en_news_trans	zh	en	越野车冲入放学人群续：司机踩油门过多所致	Continuation of off-road vehicle rushing into crowd leaving school: caused by driver's excessive use of pedal accelerator	Follow-up report on the off-road vehicle crashing into the off-school crowd: caused by too high throttle	Continued Report on Off-road Vehicle Plunging into Those Released from School: Because Driver Presses Accelerator Excessively
cwmt2009	ce-news	zh_en_news_trans	zh	en	昨日，长春市副市长郑文芝带领相关部门领导到医院看望了受伤学生和家长。	Yesterday, Changchun's Vice Mayor Zheng Wenzhi led leaders of related departments to visit the injured students and their parents in the hospital.	Yesterday, Zheng Wenzhi, deputy mayor of Changchun city headed the relevant department leaders to visit the injured students and their parents in the hospital.	Yesterday, Zheng Wenzhi, Vice Mayor of Changchun, led the leaders from relevant departments to visit the injured students and parents in the hospital.
cwmt2009	ce-news	zh_en_news_trans	zh	en	院方表示，受伤学生均无生命危险，等学生伤情稳定后，校方和医院将对他们开展有针对性的心理辅导。	The hospital indicated none of the injured students' life was in jeopardy and the school and hospital would offer the appropriate psychological counseling to them after their condition stabilized.	The hospital said all the injured students have no life risk. When the students are in stable condition, the school and the hospital will offer pertinent psychological assistance to them.	The hospital indicated that the lives of the injured students were not in danger, and when their condition stabilized, the school and hospital would provide them with pointed psychological counseling.
cwmt2009	ce-news	zh_en_news_trans	zh	en	同时，事故原因已基本查清，肇事司机在事故中负有全部责任。	At the same time, the accident cause has been basically found out and the driver should have full responsibility for the accident.	At the same time, the accident cause has been found out by and large. The driver who caused the trouble shall bear full responsibility for the accident.	Meanwhile, the accident causes have been basically found out and the driver should bear all the responsibility for the accident.
cwmt2009	ce-news	zh_en_news_trans	zh	en	郑文芝副市长看望受伤学生	Vice Mayor Zheng Wenzhi visits injured students	Deputy mayor Zheng Wenzhi visited injured students	Vice Mayor Zheng Wenzhi Visited Injured Students
cwmt2009	ce-news	zh_en_news_trans	zh	en	昨日上午，长春市副市长郑文芝带领朝阳区交警，区教育局等部门领导及工作人员赶赴吉大一院，看望受伤学生。	On the morning of yesterday, Changchun's Vice Mayor Zheng Wenzhi led leaders and staff of Traffic Police Office, Education Bureau and other departments of Chaoyang District to go to the First Hospital of Jilin University for a visit to injured students.	Yesterday morning, Zheng Wenzhi, deputy mayor of Changchun city headed the traffic policemen of Chaoyang district, leaders of the district education bureau and workers to visit the injured students in the First Hospital of Jilin University.	Yesterday morning, Zheng Wenzhi, Vice Mayor of Changchun, led some traffic policemen in Chaoyang District, leaders of the District Education Bureau and some other employees to No. 1 Hospital of Jilin University to visit the injured students.
cwmt2009	ce-news	zh_en_news_trans	zh	en	在一楼病房，郑文芝走到受伤学生和家长床前，询问伤情，并代表政府送上了慰问金。	In a ward on the first floor, Zheng Wenzhi came to the beds of the injured students and their parents to inquire about their injuries and on behalf of the government, to send them consolation money.	In the sickrooms of the first floor, Zheng Wenzhi came to the sickbeds of the injured students and parents, inquired about their condition and presented the consolation money on behalf of the government.	In the ward on the first floor, Zheng Wenzhi came to the sick beds of the injured students and parents, asked about the injuries and distributed the consolation money on behalf of the government.
cwmt2009	ce-news	zh_en_news_trans	zh	en	她说：“受伤的大部分都是孩子，孩子的事就是天大的事，政府一定妥善处理，希望受伤学生早日康复。”	She said: "Most of the injured people are children. Children's things are the most important, so the government will well deal with the accident by all means and I hope the injured students can recover as soon as possible."	She said, "Most of the injured are kids. Anything concerning children is the most important. The government must handle the case properly. I wish the injured students to recover as soon as possible."	She said: "Most of the injured are kids. Issues concerning kids are issues of uttermost importance. The government is surely to handle it properly and it is hoped that the injured students will recover at an early date."
cwmt2009	ce-news	zh_en_news_trans	zh	en	肇事司机和车辆信息确认	Confirmation of the troublemaking driver and vehicle's information	Information of troublemaking driver and car affirmed	Information about troublemaking Driver and Vehicle Confirmed
cwmt2009	ce-news	zh_en_news_trans	zh	en	昨日傍晚，交警经排查，获得了肇事车辆信息：车号为“京KT9576”的肇事车隶属于大唐吉林发电有限公司长春第三热电厂。	On the evening of yesterday, through the investigation, the traffic police got the information on the vehicle causing the traffic accident: the vehicle with the license plate number of "JingKT9576" is owned by Datang Changchun No. 3 Thermal Power Plant.	Yesterday evening, the traffic police got the information about the car with screening investigation: the car that caused the accident coded Jing KT9576 belongs to the third thermal power plant of Changchun, Datang Jilin Power Generation Co. Ltd.	Yesterday evening, through exclusion investigation, the traffic police got the information about troublemaking vehicle: the car, with the vehicle plate number of "Jing KT9576", is owned by Datang Jilin Power Generation Co., ltd Changchun No. 3 Thermal Power Plant.
cwmt2009	ce-news	zh_en_news_trans	zh	en	该车在大唐公司总部所在地北京市登记，但常年在长春市使用。	The vehicle was registered in Beijing, where Datang Corporation is headquartered, but is used in Changchun all the year round.	The car was registered in Beijing, the headquarters of Datang, but was used all year long in Changchun city.	The vehicle was registered in Beijing, the headquarters of China Datang Corporation, but was used in Changchun all year around.
cwmt2009	ce-news	zh_en_news_trans	zh	en	肇事女子名叫姜淑洁，37岁，住在长春市，从其驾驶员等级信息上看，已有14年驾龄，并且平时驾驶出租车营运。	The name of the female driver is Jiang Shujie, who is 37 years old and lives in Changchun. She is a driver of 14 years' standing according to her driver's grade information, and she ordinarily drives a taxi for business.	The female troublemaker was Jiang Shujie, 37 years old, living in Changchun city. The driver information shows that she has been a driver for 14 years and drives a taxi for business at normal times.	The female driver of the vehicle involved in the accident is Jiang Shujie, 37 years old, a resident in Changchun. Judging from her driver level information, she has been driving for 14 years, and usually drives the taxi.
cwmt2009	ce-news	zh_en_news_trans	zh	en	肇事车是姜淑洁的丈夫所负责驾驶的公车。	The vehicle causing the traffic accident is a company-owned vehicle Jiang Shujie's husband drives.	The car that caused the accident is a company car driven by Jiang Shujie's husband.	The vehicle involved in the accident is a business vehicle of which Jiang Shujie's husband is the driver in charge.
cwmt2009	ce-news	zh_en_news_trans	zh	en	事发时，姜淑洁去接孩子放学，把车停在距离校门较远的地方。	Before the accident happened, Jiang Shujie went to school for picking up her child and parked the vehicle comparatively far from the school gate.	Before the accident happened, Jiang Shujie was to pick up her child after school and parked the car at a place far from the school gate.	Before the accident happened, Jiang Shujie was to pick up her kid from school and parked the vehicle at a place a little far from the school gate.
cwmt2009	ce-news	zh_en_news_trans	zh	en	18时左右，她看到自己的孩子从学校出来后，将车辆向前移动，但因仅驾驶过该车两三次，加之对自动档车型操作方式不熟悉，紧张中油门踩下过多，致使车辆撞入人群。	At about 18:00, she saw her child come out of the school and began moving the vehicle towards the school, but as she had only driven the vehicle two or three times and she was not familiar with the operation of a vehicle with automatic transmission, she excessively pressed down the pedal accelerator under tension and drove the vehicle into the crowd.	At about 18:00, when she saw her child coming out of the school, she drove the car forward. Because she had driven the car for two or three times only and was not familiar with the automatic transmission model, she stepped heavily on the throttle pedal out of strain and caused the car to break into the crowd.	At about 18:00, seeing her kid coming out of the school, she moved the vehicle forward. However, as she had just driven the vehicle for two or three times, she was unfamiliar with the way to operate an automatic transmission model, and she was so nervous that she pressed the accelerator excessively and the vehicle was driven into the crowd.
