datasource	domain	setid	srclang	trglang	src	ref1	ref2	ref3
cwmt2008	ec-news	en_zh_news_trans	en	zh	Iraq wants U.S. withdrawal deadline	伊拉克要求美国设定撤军最终期限。	伊拉克要求美国给出撤军的最后期限。	伊拉克希望美国确定撤军最后期限。
cwmt2008	ec-news	en_zh_news_trans	en	zh	BAGHDAD, Iraq (CNN) -- A deadline should be set for the withdrawal of U.S. and allied forces from Iraq, and the pullout could be done by 2011, an Iraqi government spokesman said Tuesday.	(有线电视新闻网巴格达报道)伊拉克政府一名发言人星期二表示,美军和联合部队应设定撤军最后期限,撤军可以在2011年完成。	巴格达,伊拉克(CNN)--伊拉克政府新闻发言人本周二发表声明说,美国和多国部队应确定从伊拉克撤军的最后期限,撤军应于2011年完成。	伊拉克,巴格达(CNN)—伊拉克政府发言人周二说,应该为美军及联军从伊拉克撤军设定最后期限,到2010年底应该完成全部撤军。
cwmt2008	ec-news	en_zh_news_trans	en	zh	Ali al-Dabbagh, an Iraqi government spokesman, says a U.S. troop withdrawal in three to five years is possible.	伊拉克政府发言人阿里•阿尔-达巴格称美军在三至五年内撤军是可能的。	伊拉克政府新闻发言人阿里•阿尔-达巴格说,美国部队在三到五年内撤军是可能的。	伊拉克政府发言人阿里•阿尔-达巴格称美国在三到五年内从伊拉克撤军是可能的。
cwmt2008	ec-news	en_zh_news_trans	en	zh	Ali al-Dabbagh said any timetable would depend on "conditions and the circumstances that the country would be undergoing."	达巴格表示撤军时间表将取决于“这个国家将面临的局势和环境”。	阿里•阿尔-达巴格说任何撤军时间表都将取决于“该国将会处于什么样的条件和环境之下。”	阿里•阿尔-达巴格说制定任何时间表都将取决于“这个国家未来的安全条件和环境因素。”
cwmt2008	ec-news	en_zh_news_trans	en	zh	But he said a pullout within "three, four or five" years was possible.	但是他说在“三、四年或五年内”撤军是可能的。	但是,他还说在“三年、四年或五年”内撤军,都是可能的。	但是他也说在“三年、四年或五年”内完全撤军是可能的。
cwmt2008	ec-news	en_zh_news_trans	en	zh	"It can be 2011 or 2012," al-Dabbagh said.	“可能是2011或2012年,”达巴格说。	阿尔-达巴格说,“撤军可能会在2011或2012年。”	“可能是在2010年和2012年”,阿尔-达巴格说。
cwmt2008	ec-news	en_zh_news_trans	en	zh	"We don't have a specific date in mind, but we need to agree on the principle of setting a deadline."	“我们没有具体的时间表,但是需要就设定撤军最终期限这一原则达成一致。”	“我们头脑中还没有一个具体日期,但是我们需要就‘设定撤军最后期限’这一原则达成一致意见。”	“我们头脑中并没有一个确定的日期,但是需要就设置最后期限这一原则达成一致。”
cwmt2008	ec-news	en_zh_news_trans	en	zh	Al-Dabbagh's comments come as the United States and Iraq try to negotiate a framework governing the stationing of U.S. and allied troops beyond the end of 2008, when the current U.N. mandate for coalition forces expires.	达巴格是在美国和伊拉克试图协商联合国目前的联合驻军托管令在2008年年底到期以后美军和联合部队的驻扎框架时做出上述表示的。	在美国和伊拉克努力谈判,以期在2008年底当前的联合国多国部队托管期到期之前,达成管理美国和多国部队在伊驻军问题的框架协议之时,阿尔-达巴格作出上述评论。	阿里•阿尔-达巴格是就2008年底现有的联合国驻军授权到期以后,美国和伊拉克试图就美军和联军驻军地位问题协商有关框架协议时发表上述评论的。
cwmt2008	ec-news	en_zh_news_trans	en	zh	Al-Dabbagh said any such deal should include a withdrawal deadline.	达巴格称任何类此协议都应包括一个撤军最后期限。	阿尔-达巴格表示任何此类协议都应包含撤军最后期限。	阿里.阿尔-达巴格说任何相关协议必须包含一个撤军的最后期限。
cwmt2008	ec-news	en_zh_news_trans	en	zh	A day earlier, Prime Minister Nuri al-Maliki also said he favored a short-term accord that would spell out a withdrawal schedule for U.S. troops.	就在一天前,伊拉克总理努里•马利基(Nuri al-Maliki)也声称主张达成一个短期协议,明确美军撤军的时间表。	一天前,伊拉克总理马利基(Nuri al-Maliki)还表示,他主张达成一个短期协议,根据该协议,可以为美军制定撤军日程。	一天前,总理努里.阿尔-马利基也说,他倾向于签订一个短期协议为美军明确一个撤军时间表。
