datasource	domain	setid	srclang	trglang	src	ref1	ref2	ref3
cwmt2009	ec-news	en_zh_news_trans	en	zh	Where's the Beef?: Ghent Goes Vegetarian	牛肉在哪里?:根特市推行素食主义	牛肉在哪里?:根特实行素食	哪里有牛肉?根特成素食城
cwmt2009	ec-news	en_zh_news_trans	en	zh	Last year, Rajendra Pachauri, chair of the United Nations' Intergovernmental Panel on Climate Change, suggested that the most useful step ordinary citizens could take to help combat climate change would be to stop eating meat.	去年,联合国各政府间气候变化小组主席拉津德·巴乔里建议,为了帮助抵制气候变化,普通市民能够采取的最有效措施就是停止吃肉食。	去年,联合国政府间气候变化专门委员会主席拉金德拉·帕乔里建议说,普通市民所能做的有助于应对气候变化问题的最有效的方法是停止吃肉。	去年,拉津德拉·帕乔里,联合国政府间气候变化专门委员会主席表示,普通市民所能采取的最有用的应对气候变化的措施就是停止吃肉。
cwmt2009	ec-news	en_zh_news_trans	en	zh	In Belgium, an entire town is taking his advice to heart.	在比利时,有一整个城镇都把他的建议牢记在心。	在比利时,有一整个城镇的市民认真接受了他的建议。	在比利时,有个城镇的全体居民都将采纳他的建议。
cwmt2009	ec-news	en_zh_news_trans	en	zh	The Flemish city of Ghent has designated every Thursday as "veggiedag" — Veggie Day —calling for meat-free meals to be served in schools and public buildings, and encouraging vegetarianism among citizens by promoting vegetarian eateries and offering advice on how to follow a herbivorous diet. 	佛兰德区的根特市已经指定每个星期四为“维吉达哥”——素食日——呼吁学校和公共场所供应无肉的饭食,并通过推广素食餐馆、提供如何树立植物性饮食习惯建议,来鼓励在市民间推行素食主义。	佛莱芒语区的根特市已经将每个周四定为“素食者日”-素食者日-号召学校和公共机构提供不含肉类的膳食,并通过推广素食餐馆和提供如何进行素食饮食的建议,在市民中提倡素食主义。	这个佛兰芒城市根特已选定每周四为“素膳日”——素食日——号召学校和公共建筑内不要提供肉食,并且通过兴办素食餐馆和给予如何吃素的建议鼓励在市民当中开展素食运动。
cwmt2009	ec-news	en_zh_news_trans	en	zh	Veggie Day is not compulsory, says the city's vice-mayor Tom Balthazar, because such a draconian measure would be impossible to enforce, even in environmentally friendly Ghent, a picturesque town of 230,000 where bicycles lay scattered against spired churches in the largest car-free city center in Belgium.	副市长汤姆·巴尔泰洁说,素食日不是强制性的,因为实施这种严厉措施是不可能的——即便是在环境友好型城市根特市也是如此。根特市风景如画,拥有23万人口。那里自行车分散地堆放在比利时最大的无车广场上的尖顶教堂旁边。	该市的副市长汤姆.巴尔萨泽说,素食者日不是强制性的,因为这样严厉的措施是不可能强制执行的,即使是在环保的根特市也不行。根特是个风景如画的城市,人口有230000,是比利时最大的无车城市中心。在这儿到处可见靠着尖顶教堂停放的自行车。	素食日并非强制性的,该市副市长汤姆·巴尔泰洁说,因为这样严厉的措施不可能强制执行,即便是在热爱环保的根特,这个风景如画、有着23万人口的城镇,位于比利时最大的无车市中心,尖尖的教堂外四处停靠的都是自行车。
cwmt2009	ec-news	en_zh_news_trans	en	zh	"We wanted our goal to be easily achievable — it's not hard to skip meat one day a week. And we wanted it to be something the population could rally behind. If you give people the correction information about meat, it becomes an easy ethical decision."	“我们想把目标变得更加容易实现——每周有一天不吃肉并不难。我们希望该目标能够成为一个全民都支持的目标。如果你给人民提供了正确的关于肉食的信息,该目标就变成了易于接受的与道德相关的决定。”		“我们希望目标更容易实现——每周一天不吃肉不难实现。而且,我们希望这成为市民可以为之努力的目标。如果你为大家提供了关于肉类的正确信息,这就会成为一个简单的道德决定。”	“我们希望我们的目标是容易实现的——一周少吃一天肉应该不难。而且我们希望它要能够逐渐凝聚人气。如果你给了大家关于肉的正确信息,它就会成为一个比较容易做出的道德上的决定。”
cwmt2009	ec-news	en_zh_news_trans	en	zh	According to the U.N.'s Food and Agriculture Organization, meat production currently accounts for 18% of annual greenhouse gas emissions — more than transportation, which accounts for roughly 14%.	据联合国粮农组织报告,当前,肉类生产占了18%的年温室气体排放量——比交通运输还要高,交通运输占了约14%。		根据联合国粮农组织报告,目前肉类生产产生的温室气体排放占年度总排放量的18%——比运输业产生的温室气体还多。运输业产生的温室气体排放约占14%。	根据联合国粮农组织的报告,肉类生产当前已占到年温室气体排放量的18%——比运输排放还要多,后者只占约14%。
cwmt2009	ec-news	en_zh_news_trans	en	zh	Each year, millions of acres of rainforest are cleared for cattle ranchers and suppliers of animal feed, further accelerating climate change.	每年,数百万英亩的雨林因为畜牧场主和动物饲料供应商而消失了,这进一步加剧了气候变化。	每年都有数百万英亩雨林被砍伐,用做家畜养殖和种植动物饲料,由此进一步加快气候变化。	每年,数百万英亩的雨林被开垦成为畜牧场和动物饲料供应基地,大大加剧了气候变暖。
cwmt2009	ec-news	en_zh_news_trans	en	zh	Then there are the urgent human health issues: the world feeds much of its grain to cattle and other animals even as millions of people starve.	然后就是迫切的人类健康问题:当数百万人在忍受饥饿的时候,世界却用大量的粮食喂养牲畜及其它动物。		于是产生了迫切的人类健康问题:这个世界将大量的粮食喂给了家畜和其他动物,而这时数百万人类处于饥饿状态。	由此带来了关于人类健康的迫切的问题:全世界需要耗费大量粮食来饲养牲畜和其他动物,而这时有成千上百万人在挨饿。
cwmt2009	ec-news	en_zh_news_trans	en	zh	Those wealthy enough to consume fatty animal products are themselves at higher risk of certain health problems, including heart disease and some cancers.	那些能够吃得起含脂肪的动物产品的富人们将自己置于产生某些健康问题的危险之中,包括心脏病和一些癌症。		那些有能力消费含脂肪的动物产品的有钱人也正是那些面临某些更高健康问题风险的人,包括心脏病和一些癌症。	那些有钱消费脂肪类动物产品的人自身则有更高风险会出现某些健康问题,包括心脏病和某些癌症。
